Language,Training Hours,CER
hah_Latn,6.4,34.3
hak_Latn,19.4,1.6
hao_Latn,6.7,24.2
hap_Latn,72.2,0.9
hat_Latn,159.5,10.6
hau_Latn,836.4,3.5
haw_Latn,3.7,5.4
hay_Latn,18.7,1.5
hbb_Latn,6.4,20.9
hch_Latn,5.1,8.4
heb_Hebr,155.5,6.7
heh_Latn,20.7,1.1
her_Latn,10.2,17.3
hia_Latn,7.5,30.5
hif_Latn,19.2,0.8
hig_Latn,26.8,2.7
hil_Latn,116.2,0.2
hin_Deva,236.7,3.6
hkk_Latn,5.0,26.8
hla_Latn,6.7,27.4
hlb_Deva,36.9,0.5
hlt_Latn,44.7,1.5
hne_Deva,61.2,1.2
hnn_Latn,45.7,0.2
hno_Arab,12.2,17.1
hns_Latn,21.8,0.4
hoc_Orya,62.0,1.9
hoy_Deva,0.9,3.5
hrv_Latn,505.0,2.4
hsb_Latn,9.1,4.8
hto_Latn,29.3,1.3
hub_Latn,25.2,0.7
hue_Latn,6.3,17.2
hui_Latn,20.7,1.5
hul_Latn,6.4,21.4
hun_Latn,356.2,1.6
hus_Latn,62.1,0.8
huu_Latn,56.9,0.7
huv_Latn,22.7,2.0
hux_Latn,6.8,4.2
hvn_Latn,1.5,1.9
hwc_Latn,55.6,0.4
hwo_Latn,7.6,32.7
hye_Armn,294.2,1.9
hyw_Armn,61.0,0.8
iba_Latn,73.3,0.5
ibb_Latn,4.6,6.0
ibo_Latn,729.6,9.1
icr_Latn,41.0,1.2
ida_Latn,6.4,30.6
idd_Latn,42.4,1.6
idu_Latn,7.3,27.4
ifa_Latn,44.7,0.7
ifb_Latn,24.4,0.5
ife_Latn,50.1,2.0
ifk_Latn,19.2,2.3
ifu_Latn,25.6,0.7
ify_Latn,23.9,0.8
igl_Latn,7.6,27.6
ign_Latn,29.7,1.6
ijc_Latn,6.6,66.6
ijn_Latn,7.2,25.3
ikk_Latn,33.1,3.1
ikw_Latn,6.5,42.9
ilb_Latn,17.4,2.4
ilo_Latn,189.2,0.3
imo_Latn,4.6,1.2
ina_Latn,5.1,4.8
inb_Latn,29.3,3.9
ind_Latn,1799.5,1.8
iou_Latn,24.9,1.7
ipi_Latn,25.5,1.5
ipk_Latn,4.2,2.1
iqw_Latn,24.5,2.9
iri_Latn,32.9,2.1
irk_Latn,11.9,3.9
ish_Latn,7.8,55.4
isl_Latn,137.4,3.8
iso_Latn,22.4,32.1
ita_Latn,3487.9,1.6
itl_Cyrl,2.5,5.3
its_Latn,8.2,33.1
itv_Latn,25.2,2.2
itw_Latn,6.6,21.9
itz_Latn,5.6,9.6
ixl_Latn,109.7,1.8
izr_Latn,19.7,4.5
izz_Latn,21.1,3.2
jac_Latn,27.0,2.7
jal_Latn,8.1,21.3
jam_Latn,50.8,0.7
jav_Latn,363.9,1.8
jax_Latn,7.1,15.3
jbu_Latn,25.7,3.1
jen_Latn,7.0,3.7
